timestamp_ms,open,high,low,close,volume,rsi14,macd,macd_signal,macd_hist,stoch_k,stoch_d,stoch_rsi_k,stoch_rsi_d,adx14,atr14,bb_upper,bb_middle,bb_lower,ema20,ema50,target
1704376800000,0.53065000,0.53454000,0.52957000,0.53393000,189402.64117738,47.6040,-0.0050,-0.0067,0.0016,67.9358,51.2379,99.3381,84.1269,51.2372,0.00664664,0.54012878,0.53132850,0.52252822,0.53301590,0.54424822,0.009914541043932227
1704380400000,0.53472000,0.53700000,0.53232000,0.53545000,500198.36071735,49.4122,-0.0043,-0.0062,0.0019,79.0609,65.2195,100.0000,95.0474,49.7818,0.00650617,0.54046919,0.53176800,0.52306681,0.53324772,0.54390319,0.009350118772551326
1704384000000,0.53552000,0.53573000,0.53186000,0.53252000,362391.78242366,46.1090,-0.0038,-0.0057,0.0019,82.3265,76.4411,91.3495,96.8958,48.4849,0.00631787,0.53929755,0.53140300,0.52350845,0.53317841,0.54345679,0.009773312584123062
1704387600000,0.53229000,0.53576000,0.53216000,0.53545000,217511.48892056,49.7281,-0.0032,-0.0052,0.0020,83.3223,81.5699,91.3495,94.2330,47.2733,0.00612374,0.53795136,0.53112250,0.52429364,0.53339475,0.54314280,0.003244334587983465
1704391200000,0.53531000,0.53721000,0.53098000,0.53644000,197456.10515359,50.9273,-0.0027,-0.0047,0.0021,85.0617,83.5702,91.3495,91.3495,45.7839,0.00613133,0.53822723,0.53119900,0.52417077,0.53368478,0.54287994,-0.0020526607815592184
1704394800000,0.53628000,0.53932000,0.53591000,0.53683000,181937.21807878,51.4189,-0.0021,-0.0042,0.0021,90.1677,86.1839,100.0000,94.2330,43.8834,0.00593695,0.53866349,0.53132800,0.52399251,0.53398432,0.54264269,-0.02470518648236152
1704398400000,0.53677000,0.54090000,0.53669000,0.53925000,366583.45189919,54.4672,-0.0015,-0.0037,0.0021,90.6909,88.6401,100.0000,97.1165,41.7427,0.00581359,0.53975737,0.53165900,0.52356063,0.53448581,0.54250964,-0.02643822429686414
1704402000000,0.53919000,0.54135000,0.53805000,0.54048000,281172.09711088,55.9791,-0.0009,-0.0031,0.0022,90.8747,90.5777,100.0000,100.0000,39.6461,0.00563405,0.54088142,0.53239500,0.52390858,0.53505669,0.54243005,-0.025029407013870787
1704405600000,0.54078000,0.54348000,0.53644000,0.53775000,347878.12839862,51.8629,-0.0006,-0.0026,0.0020,86.7954,89.4536,91.9319,97.3106,37.1872,0.00573448,0.54135558,0.53257800,0.52380042,0.53531319,0.54224652,-0.019244902797617904
1704409200000,0.53799000,0.53831000,0.53579000,0.53719000,128419.63651511,51.0339,-0.0005,-0.0022,0.0017,79.9892,85.8864,82.2390,91.3903,35.0429,0.00550487,0.54179460,0.53278950,0.52378440,0.53549194,0.54204822,-0.01890465199695708
1704412800000,0.53736000,0.53858000,0.53397000,0.53534000,75815.49183191,48.2880,-0.0005,-0.0018,0.0014,66.7938,77.8594,66.6097,80.2602,33.4385,0.00544095,0.54192671,0.53286350,0.52380029,0.53547747,0.54178516,-0.017905075105859394
1704416400000,0.53488000,0.53513000,0.50736000,0.52373000,630545.93327321,35.4110,-0.0014,-0.0018,0.0004,57.3979,68.0603,41.3444,63.3977,34.9373,0.00705088,0.54233008,0.53242900,0.52252792,0.53435866,0.54107711,0.003450021053332859
1704420000000,0.52272000,0.52722000,0.52252000,0.52518000,248577.92514075,37.6474,-0.0020,-0.0018,-0.0002,50.2030,58.1316,21.3284,43.0942,36.3290,0.00688296,0.54251240,0.53212500,0.52173760,0.53348450,0.54045369,0.0031748170731348844
1704423600000,0.52539000,0.52800000,0.52539000,0.52712000,21760.32319487,40.6103,-0.0023,-0.0019,-0.0004,49.7877,52.4629,12.0506,24.9078,37.4448,0.00659275,0.54245401,0.53217600,0.52189799,0.53287836,0.53993080,0.0078044936330621765
1704427200000,0.52768000,0.52800000,0.52529000,0.52750000,8268.47232261,41.1997,-0.0024,-0.0020,-0.0004,53.2669,51.0859,21.4320,18.2703,38.4884,0.00631541,0.54228917,0.53229800,0.52230683,0.53236614,0.53944332,-0.01009820908519306
1704430800000,0.52752000,0.52916000,0.52697000,0.52713000,46658.50304205,40.7754,-0.0026,-0.0021,-0.0005,55.0664,52.7070,26.5013,19.9946,39.1663,0.00602074,0.54229794,0.53228950,0.52228106,0.53186746,0.53896045,-0.009683828701790942
1704434400000,0.52688000,0.52760000,0.52489000,0.52584000,132817.01429359,39.2573,-0.0028,-0.0022,-0.0005,53.8852,54.0728,24.3086,24.0806,39.9786,0.00578426,0.54237495,0.53223100,0.52208705,0.53129341,0.53844592,-0.0042689499195758904
1704438000000,0.52622000,0.52730000,0.52407000,0.52554000,230604.68723973,38.8946,-0.0029,-0.0024,-0.0005,52.0764,53.6760,20.5729,23.7943,40.8053,0.00560181,0.54249344,0.53213300,0.52177256,0.53074547,0.53793980,-0.004175849102159793
1704441600000,0.52575000,0.52736000,0.52510000,0.52685000,157246.82407486,41.4387,-0.0029,-0.0025,-0.0004,51.8180,52.5932,21.6479,22.1764,41.5555,0.00536311,0.54255723,0.53199050,0.52142377,0.53037447,0.53750491,-0.02851313105762767
1704445200000,0.52691000,0.53129000,0.52691000,0.53125000,529511.98627156,49.1036,-0.0025,-0.0025,0.0000,56.8106,53.5684,37.6052,26.6086,41.1494,0.00529717,0.54258259,0.53203850,0.52149441,0.53045786,0.53725962,-0.03341809857824899
1704448800000,0.53108000,0.53125000,0.51971000,0.52220000,491897.95202494,38.0672,-0.0028,-0.0025,-0.0003,53.7283,54.1190,36.2642,31.8391,41.5399,0.00574309,0.54278538,0.53145200,0.52011862,0.52967139,0.53666905,-0.018710921623653072
1704452400000,0.52246000,0.52520000,0.52091000,0.52205000,308189.83659388,37.9151,-0.0031,-0.0027,-0.0004,49.2986,53.2792,31.5691,35.1462,41.9025,0.00563930,0.54266193,0.53078200,0.51890207,0.52894555,0.53609575,-0.01014611670698211
1704456000000,0.52174000,0.52518000,0.52000000,0.52360000,279670.03782061,40.5582,-0.0031,-0.0028,-0.0004,44.5911,49.2060,20.3606,29.3980,42.3307,0.00560649,0.54258545,0.53033600,0.51808655,0.52843645,0.53560572,-0.008939764489269334
1704459600000,0.52373000,0.52510000,0.52104000,0.52335000,172565.89087076,40.2605,-0.0032,-0.0028,-0.0003,47.9684,47.2860,27.8616,26.5971,42.7282,0.00549603,0.54210497,0.52973100,0.51735703,0.52795202,0.53512510,-0.007903511378432908
1704463200000,0.52330000,0.52406000,0.51199000,0.51204000,494178.43555400,29.6550,-0.0041,-0.0031,-0.0010,40.0293,44.1962,22.7879,23.6700,43.9035,0.00596560,0.54267976,0.52851100,0.51434224,0.52643659,0.53421981,0.024004548567556
1704466800000,0.51323000,0.51546000,0.51150000,0.51379000,344228.99694205,32.6129,-0.0046,-0.0034,-0.0012,26.5471,38.1816,16.8754,22.5083,45.0312,0.00582234,0.54235719,0.52735900,0.51236081,0.52523215,0.53341864,0.020211271090967205
1704470400000,0.51356000,0.51674000,0.51252000,0.51252000,231657.12823201,31.5753,-0.0050,-0.0037,-0.0013,11.1928,25.9231,8.3609,16.0081,45.6917,0.00570789,0.54130520,0.52602250,0.51073980,0.52402147,0.53259908,0.024629793318540504
1704474000000,0.51178000,0.51705000,0.50628000,0.51678000,303103.00188054,38.6290,-0.0050,-0.0040,-0.0010,19.5696,19.1032,23.7415,16.3259,46.7984,0.00606947,0.53909320,0.52483750,0.51058180,0.52333181,0.53197873,0.02013342979114073
1704477600000,0.51689000,0.51981000,0.51617000,0.51894000,113404.71922751,41.8995,-0.0047,-0.0041,-0.0006,32.5857,21.1160,39.6579,23.9201,47.0532,0.00589593,0.53706120,0.52389700,0.51073280,0.52291354,0.53146740,0.011400447282444454
1704481200000,0.51912000,0.52116000,0.51874000,0.51923000,167006.00329839,42.3437,-0.0044,-0.0042,-0.0003,48.1274,33.4276,58.1141,40.5045,46.9229,0.00564765,0.53479248,0.52299900,0.51120552,0.52256273,0.53098751,0.009755240028044537
1704484800000,0.51984000,0.52520000,0.51984000,0.52448000,76186.94621127,49.8236,-0.0037,-0.0041,0.0004,58.3900,46.3677,76.0668,57.9463,45.7733,0.00567068,0.53284278,0.52245600,0.51206922,0.52274533,0.53073231,-0.0009156112344226846
1704488400000,0.52380000,0.52430000,0.52152000,0.52428000,53670.97652414,49.5598,-0.0032,-0.0039,0.0007,65.5071,57.3415,87.9781,74.0530,44.7058,0.00547706,0.53288653,0.52248350,0.51208047,0.52289148,0.53047928,-0.001355156002589089
1704492000000,0.52436000,0.52530000,0.52349000,0.52530000,119407.41128965,50.9850,-0.0026,-0.0036,0.0010,73.5972,65.8314,99.5641,87.8697,43.4559,0.00521512,0.53289888,0.52248950,0.51208012,0.52312087,0.53027617,-0.0031651026480175857
1704495600000,0.52533000,0.52758000,0.52532000,0.52729000,134663.97805473,53.7318,-0.0020,-0.0033,0.0013,77.3873,72.1639,99.5641,95.7021,41.7171,0.00500547,0.53292276,0.52249800,0.51207324,0.52351793,0.53015906,-0.014672151635509027
1704499200000,0.52732000,0.52732000,0.52311000,0.52489000,34213.02944669,50.0863,-0.0016,-0.0030,0.0013,82.5205,77.8350,94.9530,98.0270,40.4624,0.00494865,0.53260214,0.52236750,0.51213286,0.52364860,0.52995243,-0.025098494259524817
1704502800000,0.52469000,0.52508000,0.52342000,0.52432000,96279.34120791,49.2320,-0.0014,-0.0027,0.0012,85.4022,81.7700,88.7232,94.4134,39.2973,0.00471375,0.53227165,0.52222700,0.51218235,0.52371254,0.52973155,-0.014523634858403913
1704506400000,0.52477000,0.52477000,0.52349000,0.52400000,11766.50005971,48.7295,-0.0012,-0.0024,0.0011,85.0861,84.3363,81.7977,88.4913,38.2154,0.00446848,0.53207880,0.52213500,0.51219120,0.52373992,0.52950679,-0.010281683454301957
1704510000000,0.52397000,0.52455000,0.52281000,0.52357000,22056.28523523,48.0202,-0.0011,-0.0021,0.0010,83.0203,84.5029,78.9372,83.1527,37.3375,0.00427359,0.53188197,0.52203650,0.51219103,0.52372374,0.52927397,-0.009942882020204373
1704513600000,0.52335000,0.52501000,0.52335000,0.52364000,14452.78911305,48.1525,-0.0010,-0.0019,0.0009,81.9562,83.3542,76.7732,79.1693,36.3716,0.00408691,0.53150463,0.52187600,0.51224737,0.52371576,0.52905303,-0.009575143434061252
1704517200000,0.52362000,0.52374000,0.51614000,0.51961000,231970.44326327,41.5892,-0.0013,-0.0018,0.0005,75.0861,80.0209,65.4308,73.7137,36.6739,0.00433784,0.52994318,0.52129400,0.51264482,0.52332474,0.52868272,-0.0020420751490256885
1704520800000,0.51920000,0.51920000,0.51072000,0.51188000,98790.11414002,32.4522,-0.0020,-0.0018,-0.0002,56.7919,71.2780,40.0050,60.7363,37.5970,0.00466299,0.53033330,0.52077800,0.51122270,0.52223476,0.52802379,0.013254737568769825
